date;title;image;descriptionIn;starChosen;category;location;numberPeople;duration;whatYouNeed;postMessage;testMode;push
jederzeit;Gemeinsame Geschichte;story.png;"Die lustigsten Geschichten entstehen in Kollaboration. Schreibt doch eine Geschichte zusammen, nach folgendem Prinzip. Erstellt eine gemeinsame Datei (z.B. über <a href=""https://www.google.de/intl/de/docs/about/"">Docs</a>) und legt einen Titel für die Geschichte fest. Anschließend schreibt abwechselnd jeder einen Satz zur Geschichte hinzu. Dies wiederholt ihr beliebig oft und voila eine Geschichte entsteht :) Druckt euch eure Geschichte aus oder teilt sie online";False;Keep in Touch@StayAtHome;Online;3+ Personen;1+ Stunden;"Mikrofon (optional auch ein Headset), Internet und einen Provider (Zoom, Skype, Teams, ...); einen guten Titel; eine gemeinsame Arbeitsbasis online (z.B. google docs)";Es war einmal… ihr geilen Säcke!;False;False
jederzeit;Nehmt ein Lied auf;platten.jpg;Eure Freunde sind musikalisch? Dann nehmt doch ein Lied auf. Sucht euch ein bekanntes Lied aus und jeder erzeugt eine Spur für dieses Lied. Anschließend, sendet er dieses weiter an den nächsten, der wiederrum seine Spur dazu baut (mit Ton und Video). Ein super zeitvertreib und man baut nebenbei was produktives :) ist das nicht schön :D;False;Keep in Touch@StayAtHome;Online;3+ Musiker;2+ Stunden;"Mikrofon; ein Programm zur Aufnahme einer Tonspur mit Video; Musikerfreunde";Go go Singers!;False;False
jederzeit;Cards Against Humanity;cah.jpg;Spielt online Cards against humanity. Verabredet euch mit Freunden und legt die besten Karten. Es gibt einige Online Anbieter die euch das anbieten, wie z.B. PlayingCards.io oder  AirConsole.;False;Games@StayAtHome;Online;3+ Personen;1+ Stunden;"Mikrofon (optional auch ein Headset), Internet und einen Provider (Zoom, Skype, Teams, ...); einen Online Anbieter für Kartenspiele";Möge der Humor mit euch sein!;False;False
jederzeit;FIFA Turnier;fifa.jpg;Trefft euch mit Freunden online. Anschließend legt ihr einen Turniermodus fest und schreibt euch gegenseitig wenn ein Spiel abgeschlossen ist. Vorteil im Online Modus: Wer aussetzt kann sich zuhause anderweitig beschäftigen bevor das nächste Spiel startet. ;False;Games@StayAtHome;Online;3+ Personen;1+ Stunden;"Mikrofon (optional auch ein Headset), Internet und einen Provider (Zoom, Skype, Teams, ...); jeweils einen FIFA Online account;jeweils eine Konsole (Nintendo Switch, Xbox, …) oder am PC mit Controllern";Auf ein gutes und faires Spiel!;False;False
jederzeit;Mario Kart online;mario.jpg;Spiele eine Runde Mario Kart mit deinen Freunden. Spielt im Team oder als Einzelspieler. Als Variante könnt ihr die Luftballonschlacht spielen oder einfach gegeneinander Rennen fahren.;False;Games@StayAtHome;Online;3+ Personen;1+ Stunden;"Eine Konsole: Nintendo Switch, Wii, Gamecube oder N64;Mikrofon (optional auch ein Headset), Internet und einen Provider (Zoom, Skype, Teams, ...)";Brrrrrrrrrum, am geht die Post!;False;False
jederzeit;Risiko Online;risiko.png;"Mit dem Brettspielklassiker Risiko könnt ihr euch zusammen online die Zeit vertreiben. Ein guter Anbieter ist <a href=""https://www.ea.com/de-de/news/risiko-jetzt-kostenlos-auf-pogo-de-spielen"">Pogo</a>";False;Games@StayAtHome;Online;3+ Personen;2+ Stunden;"Eine gemeinsame Online Risikoversion (z.B. Pogo); Mikrofon (optional auch ein Headset), Internet und einen Provider (Zoom, Skype, Teams, ...)";Risiko! Spielt das Spiel mit Riiiiisiko!;False;True
jederzeit;Quizduell;quiz.png;Die Quizduell App erlaubt es euch im Wer wird Millionär Modus gegeneinander Fragen zu beantworten. Registriert euch bei der App und tauscht euere Accounts mit euren Freunden. Anschließend könnt ihr gemeinsam spielen;False;Games@StayAtHome;Online;2 Personen;1+ Stunden;"jeweils einen Quizduellaccount und die Quizduell App; Mikrofon (optional auch ein Headset), Internet und einen Provider (Zoom, Skype, Teams, ...)";Gut Quiz!;False;True
=======
jederzeit;Passenger | Isolation Sunday Live Stream;passenger.jpg;"Passenger startet jeden Sonntag seinen Isolation Sunday Live Stream. Schaut einfach mal rein für einen gemütlichen Sonntagabend. Checkt sein Facebook-Profil für Updates: <a href=""https://www.facebook.com/PassengerOfficial/"">Passenger Facebook-Profil.</a>";False;Digital Events@StayAtHome;Zu Hause;1+ Personen;Bis zu einer Stunde;Internet;;False;False
jederzeit;Rea Garves LiveSession;rea_garvey.jpg;"Rea Garvey bietet Euch jeden Donnerstag eine Live Session an. Checkt seinen Instagram-Account für Updates:
<a href=""https://www.instagram.com/reagarvey/"">Rea Garvey Instagram-Profil.</a>";False;Digital Events@StayAtHome;Zu Hause;1+ Personen;Bis zu einer Stunde;Internet;;False;False
2020-05-26T09:00:00Z;hallo.digital Convention;hallodigital.png;"Die hallo.digital ist eine Convention für digitale Transformation, um die in verschiedenen Formaten brandneues Wissen aus der Praxis zur Verfügung zu stellen. Und das kostenlos!
<a href=""https://hallo.digital/?utm_source=t3n&utm_medium=eventcalender&utm_campaign=hd_de_all_reach_listing_t3n-user&utm_term=free&utm_content=eventdate"">hallo.digital</a>";False;Digital Events@StayAtHome;Zu Hause;1+ Personen;1 Tag;Internet;Vergiss nicht Dich zu registrieren!;False;False
jederzeit;Online Poker;poker.jpg;Lasst uns eine Runde Poker in einem private Game spielen.;False;Games@StayAtHome;Zu Hause;1+ Personen;1 bis 2 Stunden;"Internet; Einen Account bei einerm online Anbieter, wie PokerStars oder 888poker; Deine Freunde; Eine gute Hand";Viel Spaß beim Zocken!;False;False
jederzeit;Monopoly online;monopoly.jpg;Hat jemand Lust auf eine Partie Monopoly?;False;Games@StayAtHome;Zu Hause;2+ Personen. Je mehr desto besser.;Mindestens eine, hoffentlich mehrere Stunden.;"Internet; Einen online Anbieter für Monopoly (es gibt kostenlose Anbieter auf dem Markt); Deine Freunde; Glück beim Würfeln";Viel Spaß beim Kaufrausch!;False;False
jederzeit;Online Risiko Match;risiko.jpg;Hat jemand Lust auf eine Partie Risiko?;False;Games@StayAtHome;Zu Hause;2+ Personen. Je mehr desto besser.;Mindestens eine, hoffentlich mehrere Stunden.;"Internet; Einen online Anbieter für Risiko (es gibt kostenlose Anbieter auf dem Markt); Deine Freunde";Glück auf!;False;False
jederzeit;Spiele Brettspiele online;brettspiele.jpg;Eine große Runde Brettspiele zusammen w&aumlre doch super. Habt ihr Lust?;False;Games@StayAtHome;Zu Hause;2+ Personen. Je mehr desto besser.;Mindestens eine, hoffentlich mehrere Stunden.;"Internet; Einen online Anbieter für Brettspiele (es gibt kostenlose Anbieter auf dem Markt); Deine Freunde";&Aumlrgert Euch nicht!;False;False
jederzeit;Command and Conquer 2;openra.png;"Spiele Command and Conquer 2: Red Alert oder weitere Spiele kostenlos online mit Deinen Freunden. Lade Dir dafür OpenRA runter und zocke so lange Du willst: <a href=""https://www.openra.net/about/"">OpenRA</a>.";False;Games@StayAtHome;Zu Hause;1+ Personen;Abh&aumlngig von Dir!;"Internet; Einen Laptop mit einem gängigen Betriebssystem (OSX, Windows, Linux)";;False;False
jederzeit;Skribbl online;skribbl.jpg;"Ihr malt gerne? Na dann ist Skribbl genau das richtige für Euch. Spielt online gegeneinander unter: <a href=""https://www.spielaffe.de/Spiel/Skribbl-io"">Skribbl</a>";False;Games@StayAtHome;Zu Hause;2+ Personen. Je mehr desto besser.;Abh&aumlngig von Dir!;Internet;;False;False
jederzeit;Online Party;party.jpg;Lasst uns in einem Video-Chat (Skype, Zoom, WhatsApp) eine gemeinsame Party feiern!;False;Keep in Touch@StayAtHome;Zu Hause;2+ Personen. Je mehr desto besser.;Mindestens eine, hoffentlich mehrere Stunden.;"Internet; Zoom; Deine Freunde; Booze";Viel Spaß beim Feiern.;False;False
jederzeit;Gemeinsames online Abendessen;esstisch.jpg;Startet ein gemeinsames Abendessen online, da wir uns gerade nicht treffen können.;False;Keep in Touch@StayAtHome;Zu Hause;2+ Personen. Je mehr desto besser.;Mindestens eine, hoffentlich mehrere Stunden.;"Internet; Ein gutes Essen; Deine Freunde";Einen guten Appetit!;False;False
jederzeit;Remote Spaziergang;remote_walk.jpg;Macht einen gemeinsamen Remote-Spaziergang. Jeder Eurer Freunde geht für sich spazieren und Ihr verbindet Euch dabei per Video-Anruf. Dadurch könnt Ihr den anderen Teilnehmern schöne Dinge in der Natur oder in Eurer Stadt zeigen.;False;Keep in Touch@StayAtHome;In eurer Stadt;2+ Personen. Je mehr desto besser.;Abh&aumlngig von Dir!;"Ein mobiles Gerät mit Internetzugang; Skype, WhatsApp, Zoom, o.ä.";Haltet Euch dabei jedoch bitte an die aktuellen Bestimmungen in Eurem Bundesland.;False;False
jederzeit;Gemeinsames Video-Kochen;remote_cook.jpg;Holt euch Eure Freunde per Video-Anruf in Eure Küche und kocht Euer Lieblingsgericht zusammen.;False;Keep in Touch@StayAtHome;Zu Hause;2+ Personen. Je mehr desto besser.;Abh&aumlngig von Dir!;"Deine Küche; Zutaten; Ein videofähiges Ger&aumlt mit Internetzugang; Skype, WhatsApp, Zoom, o.ä.";;False;False
jederzeit;Autokino;autokino.jpg;Autokino ist altmodisch? Seit der Corona-Zeit nicht mehr! Gehe mit Deinen Freunden ins Autokino und schaut Euch einen Film zusammen an…natürlich jeder für sich in seinem Auto.;False;Keep in Touch@StayAtHome;In einem Autokino in Deiner Nähe;1+ Personen;ca. 2 Stunden;"Ein Auto; Ein Autokino ein deiner Nähe";Haltet Euch dabei jedoch bitte an die aktuellen Bestimmungen in Eurem Bundesland.;False;False
jederzeit;Museumstour online;museum.jpg;"Ein Besuch im Museum ist trotz der aktuellen Situation möglich. Dafür bieten viele Museen virtuelle Bereiche an.
Hier findest Du ein paar Beispiele:
<ul>
  <li><a href=""https://digital.deutsches-museum.de/virtuell/"">Deutsches Museum</a></li>
  <li><a href=""https://www.louvre.fr/en/visites-en-ligne"">Louvre</a></li>
  <li><a href=""http://bode360.smb.museum/"">Bode Museum</a></li>
  <li><a href=""https://borderless.teamlab.art/"">Digital Art Museum</a></li>
  <li><a href=""https://www.metmuseum.org/art/online-features/met-360-project"">Metropolitan Museum of Art: The Met 360° Project</a></li>
  <li><a href=""https://www.staedelmuseum.de/de/digitale-angebote"">Städel Museum</a></li>
  <li><a href=""https://store.steampowered.com/app/515020/The_VR_Museum_of_Fine_Art/"">The VR Museum of Fine Art</a></li>
  <li><a href=""http://www.nmusafvirtualtour.com/"">National Museum United States Air Force</a></li>
</ul>
Wenn du nicht alleine gehen willst, starte doch parallel eine Skype- oder Zoom-Session mit deinen Freunden!

";False;Productive@StayAtHome;Zu Hause;1+ Personen;1 bis 2 Stunden;Internet;;False;False
jederzeit;Stelle Seife selber her;seife.jpg;"Du hättest nie daran gedacht, einmal Deine eigene Seife herzustellen? Eigentlich ist das gar nicht so kompliziert. Versuche es doch einfach mal: <a href=""https://utopia.de/ratgeber/seife-selber-machen-anleitung-mit-natuerlichen-zutaten/"">Tutorial</a>.";False;Productive@StayAtHome;Zu Hause;1+ Personen;1 bis 2 Stunden;"Kernseife; Duftöl oder Gewürz";;False;False
jederzeit;Probier ein neues Rezept;kochen_rezept.jpg;"Wir hatten noch nie so viel Zeit zu Hause als in der aktuellen Phase. Warum dann nicht einfach ein neues Rezept beim Backen oder Kochen ausprobieren? Leg am Besten gleich los und lass Dich z. B. bei <a href=""https://www.chefkoch.de/"">Chefkoch.de</a> inspirieren.";False;Productive@StayAtHome;Zu Hause;1+ Personen;1 bis 2 Stunden;"Ein Rezept; Deine Küche; Die Zutaten";Guten Appetit!;False;False
jederzeit;Räume Deinen Keller auf;keller.jpg;Du hast Dich bisher erfolgreich davor gedrückt Deinen Keller aufzuräumen? Na dann ist jetzt die beste Zeit, um endlich ein wenig Ordnung in Deinen Keller zu bringen. Nimm Dir doch die Zeit, räume auf und sortiere eventuell sogar Dinge aus, die Du nicht mehr brauchst, ein anderer jedoch gut gebrauchen kann.;False;Productive@StayAtHome;Zu Hause;1 Person;Bis zu einem Tag;Einen Keller;Du wirst es nicht bereuen!;False;False
jederzeit;Home Sport oder Home Yoga;home_sports.jpg;Du bist schon länger zu Hause und Dir fehlt ein wenig Bewegung? Probiere doch einfach mal Home Sports oder Yoga aus. Lass Dich dabei auf Youtube von dem großen Angebot inspirieren. Jedes Fitnesslevel kommt hier auf seine Kosten!;False;Productive@StayAtHome;Zu Hause;1 Person;Bis zu einer Stunde;Ein wenig Platz bei Dir zu Hause;Du wirst es nicht bereuen!;False;False
>>>>>>> acdcfa008df0d01dc05059ed523056229891faf6
